"Название товара";SKU;"ADS (продаж в день)";"Текущий запас";"Целевой запас";"Рекомендация к пополнению";Приоритет;"Дата расчета"
"Неизвестный бренд артикул 299795132";299795132;16.00;56;336;280;ВЫСОКИЙ;2025-10-17
"Лапша рисовая органическая";161875313;10.00;13;210;197;ВЫСОКИЙ;2025-10-17
"Конфеты ирис SOLENTO Йогурт3,0";;10.00;28;210;182;ВЫСОКИЙ;2025-10-17
"Разрыхлитель для выпечки";167970913;10.00;48;210;162;ВЫСОКИЙ;2025-10-17
"Конфеты ирис SOLENTO Йогурт0,25";;8.00;13;168;155;ВЫСОКИЙ;2025-10-17
"Конфеты ирис SOLENTO Фруктовый3,0";;9.00;38;189;151;ВЫСОКИЙ;2025-10-17
"Ирис со вкусом йогурта";161875896;6.00;29;126;97;СРЕДНИЙ;2025-10-17
"Микс 0,500";;5.00;39;105;66;СРЕДНИЙ;2025-10-17
"Конфеты ирис SOLENTO Йогурт1,0";;6.00;65;126;61;СРЕДНИЙ;2025-10-17
"Неизвестный бренд артикул 197183456";197183456;7.00;96;147;51;СРЕДНИЙ;2025-10-17
"Конфеты ирис SOLENTO Ассорти0,5";;4.00;61;84;23;НИЗКИЙ;2025-10-17
"Смесь для булочек с псиллиумом";1402098152;2.00;41;42;1;НИЗКИЙ;2025-10-17
